,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,589.9749999999999,615.0375,641.0874999999999,667.2250000000001,695.5375,722.0625000000001,751.1624999999999,781.2375,802.8499999999999,835.9499999999999,863.3375000000002,894.95,927.6749999999998,958.5000000000001,993.0625000000006,1021.3875000000003,1053.7749999999999,1088.1750000000002,1118.0875000000003,1160.0749999999998,1192.1625,1231.4250000000002,1265.7125,1298.1624999999997,1339.2249999999997,1379.2624999999998,1415.3250000000003,1453.9624999999999,1495.7625,1539.5499999999997,1575.1500000000008,1621.3625000000002,1656.5,1695.6124999999997,1743.9749999999995,1789.0,1827.55,1871.2375,1919.475,1966.0000000000002,2005.2875000000004,2054.7625000000003,2096.925,2144.0249999999996,2199.3500000000004,2242.7625000000007,2302.9,2343.5125000000007,2389.787499999999,2450.937500000001,2493.4874999999993,2552.5249999999996,2599.8875000000007,2655.1624999999995,2702.6750000000006,2761.337500000001,2806.9625000000005,2871.099999999999,2915.349999999999,2976.625000000001,3030.7750000000015,3087.2999999999997,3142.6375,3200.8375000000005,3261.0624999999986,3322.2000000000016,3372.1625000000017,3437.9874999999997,3503.8249999999994,3561.3750000000005,3616.187500000002,3687.4500000000007,3749.5,3807.6000000000013,3876.0875,3929.6625,4003.162500000001,4075.8750000000005,4129.6875,4188.5375
1,884.5250000000001,921.975,961.7375000000002,1002.3750000000001,1042.6875000000002,1090.625,1127.075,1174.5749999999998,1211.0625000000005,1258.4624999999999,1305.1124999999997,1344.9999999999998,1393.2124999999999,1443.1125000000002,1492.275,1541.3125000000005,1588.9,1643.1875000000002,1688.8750000000002,1745.7000000000003,1795.8124999999993,1855.624999999999,1907.3749999999998,1961.2875000000008,2020.7249999999995,2079.7250000000004,2138.8625,2192.7000000000003,2254.7499999999995,2315.7874999999995,2375.799999999999,2442.5874999999996,2501.987500000001,2563.950000000001,2627.487500000001,2695.8624999999997,2760.8,2823.5625,2894.1624999999995,2967.099999999999,3020.7624999999985,3103.1125,3169.7749999999996,3243.337500000001,3319.3874999999994,3389.5125000000003,3464.4375,3536.8125000000014,3613.124999999999,3693.749999999998,3772.6625000000017,3850.95,3927.412500000001,4004.6125,4081.125,4175.1875,4246.974999999999,4332.450000000001,4405.625,4502.575000000002,4579.775000000001,4665.987499999998,4760.474999999999,4842.0625,4941.274999999999,5024.3,5110.775,5202.475,5293.049999999999,5389.8625,5484.825000000001,5581.4749999999985,5675.987500000001,5765.575,5869.825,5962.075000000001,6058.6,6161.687499999997,6258.849999999998,6357.387500000001
2,1108.5749999999996,1152.0125000000005,1201.5374999999995,1253.4750000000001,1304.6499999999999,1350.5249999999999,1408.3374999999994,1458.3500000000004,1510.3999999999999,1567.0375,1624.825,1685.0999999999997,1738.8625000000002,1802.2250000000006,1862.4000000000008,1924.5500000000009,1980.3500000000001,2047.2375000000004,2114.2875,2180.812500000001,2245.3249999999994,2314.8500000000004,2386.3125,2450.7374999999997,2525.6875000000005,2595.125,2664.7374999999997,2734.6750000000006,2808.0874999999983,2890.7625,2967.275000000001,3044.7249999999995,3118.1125000000006,3203.0875000000005,3274.4750000000004,3356.9249999999993,3449.0999999999995,3531.2625000000007,3612.725000000001,3708.55,3783.2625,3870.575,3970.3125000000005,4054.6499999999996,4141.624999999999,4224.5125,4326.150000000001,4424.824999999999,4509.212500000001,4603.787499999999,4705.674999999998,4798.700000000001,4903.8499999999985,4998.725,5103.825000000003,5198.037500000001,5307.337499999998,5405.0,5516.675000000002,5621.524999999999,5729.087499999999,5839.949999999999,5951.125000000002,6055.224999999998,6165.150000000001,6268.499999999999,6389.337500000001,6505.000000000002,6612.600000000001,6736.262500000003,6846.249999999997,6959.737499999999,7087.374999999999,7202.6125,7321.462500000004,7445.600000000003,7559.387500000002,7681.237499999998,7815.987499999999,7937.45
3,861.35,897.125,937.3874999999999,976.9250000000002,1018.825,1058.7624999999998,1096.7624999999998,1142.825,1181.7874999999997,1225.4749999999997,1269.6249999999998,1312.4375000000002,1358.3875000000003,1406.3624999999993,1453.6625000000001,1497.375,1545.8374999999999,1599.95,1645.7249999999997,1701.8625000000002,1747.4124999999997,1803.0999999999997,1856.2874999999997,1911.3250000000003,1971.1874999999993,2021.1125000000006,2080.4625000000005,2137.425,2196.9875,2254.0125000000007,2314.6249999999995,2380.4000000000005,2432.212499999999,2494.0250000000005,2559.125,2625.7750000000005,2690.0875000000015,2748.075,2817.2625,2891.7499999999986,2946.4249999999993,3019.7000000000007,3087.6499999999987,3163.5125000000003,3236.437499999999,3308.9125,3384.5125,3446.9750000000004,3523.9,3599.500000000001,3681.787499999999,3758.1875,3825.6375000000003,3911.249999999999,3980.3500000000004,4070.7749999999987,4139.65,4229.862500000001,4301.35,4390.875,4468.762500000001,4556.450000000001,4645.449999999999,4726.4125,4815.525,4900.212499999999,4988.487500000001,5082.437499999998,5166.550000000001,5262.199999999999,5350.712500000001,5448.875,5534.175,5632.050000000001,5732.8875,5818.674999999999,5915.1625,6028.512499999997,6110.2249999999985,6208.175000000001
4,1105.9500000000003,1152.6000000000001,1200.6499999999999,1250.9,1302.6500000000008,1350.3624999999997,1402.8750000000002,1458.7250000000008,1511.8125000000005,1563.6625,1620.4625000000005,1678.5499999999997,1736.2249999999995,1795.3875000000003,1854.1625,1912.9125000000008,1976.1374999999996,2039.0,2105.5124999999994,2168.1624999999995,2232.6499999999996,2298.9749999999995,2366.812500000001,2437.7874999999995,2508.7,2575.3624999999997,2648.4000000000005,2720.75,2794.712500000001,2866.6375000000007,2944.175,3024.6,3096.1250000000005,3176.175000000001,3252.85,3335.274999999999,3417.0750000000003,3500.3625,3584.075000000001,3670.1375,3752.4874999999984,3839.137500000001,3928.6000000000017,4017.2250000000017,4106.3875,4196.249999999999,4288.55,4381.025,4473.425000000002,4566.05,4665.800000000001,4758.575,4853.0875,4953.674999999998,5054.25,5156.275000000001,5253.462500000001,5358.112500000001,5459.962500000001,5565.987499999999,5671.387500000001,5777.9875,5884.487499999999,5993.624999999998,6100.5250000000015,6209.6375,6322.225000000002,6436.737499999999,6546.612500000001,6663.312499999999,6771.012500000003,6894.75,7004.562499999998,7127.975000000001,7250.187499999997,7367.074999999998,7486.387500000002,7616.887499999998,7735.6875,7857.699999999999
5,810.7,843.2125000000001,878.25,912.9749999999999,948.5374999999999,985.1624999999999,1021.0500000000001,1060.5749999999998,1092.4250000000002,1133.7625000000003,1169.9250000000002,1210.4750000000004,1253.3749999999993,1295.1000000000001,1337.6375000000003,1377.2375000000002,1416.6499999999999,1464.025,1505.4125000000004,1554.0125,1598.3125,1649.0375,1696.0874999999999,1740.9000000000015,1791.8625,1844.3750000000005,1891.4249999999997,1940.5875,1994.0875,2047.2499999999998,2099.4875,2154.3124999999995,2203.224999999999,2255.7375,2317.6124999999997,2375.4625,2424.6999999999994,2483.7249999999995,2540.2500000000005,2604.7999999999997,2655.049999999999,2718.800000000001,2775.9375000000014,2841.4624999999996,2905.3125,2967.4374999999995,3039.5250000000005,3091.8374999999996,3153.9874999999997,3228.474999999999,3289.7874999999995,3362.4874999999997,3424.999999999999,3495.862500000001,3556.3250000000003,3633.3499999999995,3694.5499999999993,3774.8874999999994,3832.575000000001,3912.637499999999,3982.5625,4053.3625000000006,4129.062499999999,4196.350000000001,4280.7,4357.724999999999,4426.525000000001,4508.375000000001,4589.9125,4666.475,4741.150000000001,4822.525000000001,4907.887500000001,4982.312499999999,5066.987499999999,5140.337499999999,5232.912500000001,5323.362500000001,5395.8375,5476.450000000002
6,826.8000000000001,859.5124999999998,895.4249999999998,930.75,966.5625000000003,1002.7250000000003,1039.4749999999997,1078.9875,1110.5625,1153.3249999999996,1188.7124999999999,1230.725,1273.25,1315.2125,1358.4875,1398.0499999999997,1437.5625000000002,1485.3125,1526.3624999999995,1575.7624999999998,1620.5125,1672.0250000000003,1718.1249999999995,1761.2875000000001,1814.6750000000004,1866.9250000000002,1913.2375000000004,1962.1999999999996,2015.6999999999996,2068.9375,2121.5499999999997,2177.5374999999995,2225.1375000000003,2278.8,2339.7375,2398.0874999999996,2446.65,2505.6750000000006,2563.9249999999997,2627.7499999999995,2678.0125000000003,2742.4499999999994,2798.5499999999997,2862.287500000001,2926.7750000000005,2988.85,3061.8125,3113.8249999999994,3175.8124999999995,3250.3749999999995,3310.5000000000005,3384.0250000000005,3446.1250000000005,3517.074999999999,3579.2000000000003,3655.062500000002,3714.899999999999,3796.2625000000007,3853.6749999999997,3932.862499999998,4004.2875000000004,4073.824999999999,4149.012500000001,4217.162499999999,4300.825,4378.550000000002,4446.8125,4528.587500000001,4610.549999999998,4686.85,4759.624999999998,4842.649999999996,4926.887500000001,5000.225,5085.55,5160.075000000002,5251.399999999999,5340.700000000002,5412.837499999997,5493.700000000001
7,788.3874999999999,824.3375000000003,861.9500000000002,898.0625000000003,935.5749999999997,972.1125000000002,1005.5625000000002,1049.4250000000002,1085.7624999999998,1127.8625000000002,1163.3999999999999,1205.6875000000002,1245.5125000000003,1292.2374999999995,1331.8000000000002,1374.5499999999995,1419.175,1468.0125000000007,1513.0874999999999,1564.9125000000001,1605.0875,1654.3374999999996,1702.3375,1758.2875,1808.5000000000002,1859.8749999999998,1909.8124999999998,1958.2124999999999,2020.0125,2071.8499999999995,2127.7125000000005,2188.8499999999995,2231.1124999999997,2291.850000000001,2352.6249999999995,2409.037500000001,2473.4375,2528.7,2591.3999999999996,2651.9000000000005,2706.6749999999997,2779.4125,2834.4375,2903.125,2973.7,3046.925,3114.9625,3170.0125000000003,3237.7500000000005,3311.075000000001,3393.449999999999,3456.9375000000005,3522.1000000000004,3598.1750000000006,3659.7250000000004,3742.300000000001,3809.825,3891.2124999999996,3959.1875,4040.9125,4118.8875,4200.100000000002,4283.862499999999,4342.9625,4433.350000000001,4511.012500000001,4597.225000000002,4682.0875,4753.600000000001,4846.124999999998,4928.225,5022.712500000003,5104.349999999999,5190.65,5278.112499999999,5360.437499999999,5450.937500000001,5555.424999999999,5636.1624999999985,5715.5125
8,1036.75,1082.0625000000002,1127.0624999999998,1173.8375000000003,1222.0749999999996,1266.85,1315.9375,1367.2000000000003,1417.3750000000002,1468.9250000000002,1517.1625,1573.7375000000004,1625.7875,1684.4874999999997,1736.5749999999998,1791.1249999999995,1851.9999999999998,1908.0374999999992,1974.0874999999999,2035.5624999999998,2091.9499999999994,2151.4249999999997,2213.425,2285.7375,2347.2875000000004,2415.8500000000013,2482.1249999999995,2543.6625000000004,2617.3749999999995,2688.2249999999995,2760.9624999999996,2835.5750000000003,2896.9375,2975.4375,3050.0750000000007,3118.424999999999,3201.425,3282.2374999999993,3359.937499999998,3433.474999999999,3513.975000000001,3597.6624999999995,3677.9624999999987,3759.024999999999,3845.875,3933.737500000001,4020.825,4104.624999999998,4191.6875,4279.887500000001,4379.1,4458.337499999999,4550.800000000001,4640.9875,4734.325000000001,4830.825,4926.437499999999,5021.550000000001,5119.825000000003,5217.987499999997,5323.049999999998,5421.3875,5524.475000000002,5608.124999999999,5722.337500000001,5822.562500000002,5936.150000000001,6036.2375,6136.624999999995,6248.2750000000015,6346.299999999997,6469.6125,6576.499999999998,6686.5125,6795.3,6911.650000000002,7022.512500000001,7145.037500000001,7262.237500000001,7365.150000000001
9,807.7749999999996,840.6,875.325,909.8000000000002,945.4249999999995,982.3375,1018.0500000000001,1057.7250000000004,1089.0125,1130.2875,1166.8625000000002,1207.1000000000004,1250.1750000000004,1291.8000000000004,1334.1875,1374.0624999999993,1412.8499999999997,1460.4125,1501.9499999999991,1550.7999999999997,1594.7,1645.6,1692.4499999999998,1737.5250000000003,1788.175,1840.7875000000001,1888.2,1937.075,1990.25,2044.1125000000004,2095.837500000001,2150.4874999999997,2199.325,2252.3125,2314.0749999999994,2371.4875000000006,2421.0249999999987,2480.05,2536.1499999999996,2601.0999999999995,2651.4499999999994,2715.025,2773.0999999999995,2837.725000000001,2901.55,2964.2000000000003,3036.1000000000004,3088.6249999999995,3150.2749999999996,3224.525,3286.474999999999,3358.8875000000007,3422.1125,3492.8749999999995,3552.6999999999994,3630.2125,3691.250000000001,3771.5499999999997,3829.3250000000003,3909.75,3979.4125000000004,4049.975,4126.5374999999985,4192.85,4277.7,4354.087499999999,4423.6500000000015,4505.699999999999,4586.212500000001,4663.500000000002,4738.2875,4819.55,4904.562499999999,4979.300000000001,5063.962499999998,5137.425,5229.812500000001,5320.1875,5393.162499999999,5473.4625
