,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,22.2,23.233333333333338,28.233333333333334,30.866666666666664,35.13333333333333,41.900000000000006,44.43333333333334,49.166666666666664,54.166666666666664,66.26666666666668,67.13333333333334,78.60000000000001,81.7,87.63333333333335,97.43333333333335,106.43333333333334,109.69999999999999,118.63333333333334,128.86666666666667,130.66666666666666,150.76666666666668,154.79999999999998,163.8666666666666,176.7666666666667,180.10000000000002,189.39999999999995,206.93333333333334,217.13333333333338,226.20000000000005,244.83333333333331
1,27.03333333333334,28.5,33.89999999999999,39.03333333333334,43.53333333333333,52.93333333333332,54.06666666666668,61.06666666666668,67.26666666666667,79.1,82.4,95.19999999999997,100.33333333333334,105.96666666666667,119.43333333333334,132.70000000000002,136.16666666666666,148.10000000000002,162.03333333333333,163.70000000000005,188.59999999999994,193.3666666666667,201.73333333333335,221.8,219.83333333333331,237.36666666666667,257.3,269.56666666666655,279.33333333333337,300.16666666666663
2,50.300000000000004,55.53333333333333,65.43333333333335,72.4,87.23333333333332,108.03333333333333,108.8,132.16666666666666,145.76666666666665,178.26666666666668,193.0666666666667,223.73333333333332,226.4666666666666,256.96666666666675,288.46666666666664,328.4,345.86666666666656,389.0333333333332,421.36666666666673,426.5,503.93333333333334,512.9,552.3666666666667,618.5333333333334,598.5666666666666,656.9666666666666,736.2666666666667,780.4333333333332,778.6666666666666,871.1666666666664
3,20.633333333333336,21.500000000000007,25.266666666666666,27.46666666666666,31.300000000000004,36.7,38.46666666666667,41.93333333333334,45.800000000000004,54.63333333333334,59.06666666666668,65.26666666666668,69.13333333333333,73.73333333333332,80.06666666666669,90.16666666666666,92.0,97.16666666666667,109.33333333333336,112.33333333333333,125.2,126.43333333333334,137.26666666666665,145.53333333333336,143.5,158.99999999999997,171.60000000000002,179.8666666666667,185.09999999999997,200.29999999999998
4,54.36666666666666,58.066666666666656,69.39999999999999,74.46666666666664,92.73333333333333,116.6,122.03333333333332,140.93333333333334,154.16666666666666,185.89999999999998,212.76666666666662,245.39999999999995,246.4333333333333,274.30000000000007,310.40000000000003,359.00000000000006,369.5,418.96666666666664,454.40000000000003,460.6,533.3000000000001,546.9666666666666,587.1333333333333,643.8333333333333,638.2333333333333,709.2,762.8666666666667,809.5666666666667,833.0333333333333,900.9666666666665
5,43.300000000000004,45.9,52.63333333333332,56.466666666666676,63.93333333333332,73.26666666666668,78.66666666666666,84.26666666666664,91.36666666666667,105.89999999999998,110.39999999999998,123.89999999999999,129.66666666666669,138.73333333333335,150.23333333333332,162.16666666666666,168.0,176.6,192.16666666666666,196.13333333333333,215.9,222.5333333333333,233.56666666666666,250.96666666666667,256.4,267.8666666666667,289.6333333333334,303.1333333333334,312.8666666666667,333.5333333333333
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,22.9,23.766666666666666,26.966666666666665,28.200000000000003,31.16666666666666,34.9,37.63333333333333,40.23333333333334,42.16666666666666,46.6,50.26666666666668,54.70000000000002,57.60000000000001,58.86666666666666,65.66666666666667,70.66666666666666,73.43333333333334,76.06666666666668,82.66666666666669,89.03333333333333,94.63333333333334,95.39999999999999,103.06666666666665,109.2666666666667,106.66666666666664,117.86666666666663,124.63333333333334,131.10000000000002,135.96666666666667,144.79999999999998
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
