,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,136.07999999999998,144.60000000000002,157.39999999999998,169.04000000000002,177.64000000000001,190.69999999999993,201.58000000000004,213.64000000000001,229.58000000000004,240.93999999999994,251.51999999999998,265.44,280.34000000000003,295.47999999999996,308.36,324.5400000000001,340.0,354.98,372.7599999999999,385.7,404.78000000000003,423.42,437.4599999999998,459.8200000000001,474.06,497.7199999999999,510.84000000000003,531.3400000000001,551.9600000000003,573.8399999999997,595.8199999999997,612.8799999999999,632.1200000000001,655.34,680.16,702.3799999999999,723.2200000000003,744.42,765.8200000000003,790.0800000000002,815.6399999999999,845.0000000000001,871.82,887.32,915.9200000000001,944.32,968.3600000000001,990.76,1020.14,1048.1200000000001,1074.18,1107.3799999999999,1131.3,1155.38,1188.3600000000001,1217.2,1248.8000000000004,1268.9999999999998,1299.8399999999997,1336.42,1362.6800000000003,1396.1200000000001,1425.9399999999998,1459.6999999999998,1493.18,1530.38,1549.76,1595.02,1635.7799999999997,1658.6000000000004
1,239.24,257.86000000000007,274.3200000000001,297.12,315.26,337.96000000000004,357.22,378.6999999999998,408.71999999999997,427.9200000000001,453.9599999999999,478.0,500.42000000000013,531.1399999999999,555.5600000000001,590.3399999999999,612.7000000000002,643.4799999999999,676.1199999999999,708.0000000000001,732.8,773.96,806.5200000000001,838.62,872.5399999999998,908.58,940.9200000000001,971.4800000000001,1015.44,1058.7999999999997,1084.7,1128.8400000000004,1171.2400000000005,1204.6599999999999,1257.94,1292.6,1336.9999999999998,1368.42,1421.6,1463.9999999999995,1516.3,1564.0000000000002,1615.9399999999994,1648.2000000000003,1698.3999999999999,1762.9399999999998,1804.3200000000004,1856.74,1908.5999999999997,1958.4599999999991,2007.4,2059.06,2121.12,2175.1600000000003,2235.94,2276.3800000000006,2352.6800000000007,2395.2200000000003,2451.1399999999994,2517.5799999999995,2565.34,2643.9999999999995,2691.9800000000005,2752.56,2808.280000000001,2877.7799999999997,2951.0,3004.6600000000003,3080.3999999999996,3150.4799999999996
2,328.1599999999999,349.4599999999999,382.44000000000005,411.86000000000007,432.3199999999999,471.6599999999998,498.7800000000001,526.0600000000001,559.4,593.78,636.2400000000001,668.46,698.8200000000002,742.1999999999999,788.36,828.2199999999998,857.4,899.86,942.72,987.1400000000002,1031.34,1083.72,1119.98,1177.28,1235.7400000000005,1275.88,1315.3,1379.3599999999994,1423.5400000000002,1488.78,1535.1399999999999,1596.72,1649.5,1701.6399999999996,1770.2799999999997,1822.1399999999992,1888.48,1948.1000000000004,2010.9000000000005,2073.7799999999997,2132.0399999999995,2210.7999999999993,2283.860000000001,2324.4600000000005,2404.6600000000003,2469.68,2553.960000000001,2625.2799999999997,2677.2,2770.2400000000002,2828.559999999999,2922.1600000000003,2998.4599999999987,3067.879999999999,3130.439999999999,3224.2600000000007,3315.8600000000006,3398.599999999999,3476.780000000001,3552.2999999999997,3639.66,3734.66,3811.719999999999,3908.2600000000007,3984.399999999999,4092.1000000000004,4170.080000000001,4272.299999999998,4367.18,4446.420000000001
3,238.78000000000006,256.6,277.30000000000007,297.49999999999994,311.78000000000003,340.94,353.9600000000001,382.68,409.9399999999999,427.5799999999999,450.45999999999987,473.54,498.52000000000004,526.9599999999999,554.32,584.8800000000001,610.0000000000001,637.7800000000001,669.5400000000001,697.12,724.6199999999999,763.88,798.9200000000002,828.5400000000003,862.6399999999996,897.6,932.2199999999999,961.5400000000001,999.9399999999996,1041.1200000000001,1077.04,1121.0399999999997,1155.7799999999997,1193.66,1241.16,1277.6199999999997,1313.6200000000003,1357.7200000000003,1403.82,1451.4200000000003,1496.8999999999996,1539.76,1594.8200000000002,1626.6399999999996,1686.3200000000002,1729.44,1781.5,1825.5599999999997,1875.5,1928.1,1981.98,2031.4399999999998,2080.0000000000005,2134.08,2197.0800000000004,2248.16,2304.5,2354.340000000001,2408.32,2476.2000000000003,2525.4800000000005,2596.4199999999996,2645.1200000000013,2710.4599999999996,2771.6399999999994,2830.1600000000003,2888.04,2945.2600000000007,3030.38,3090.2
4,357.52000000000004,386.68,414.9,444.6999999999998,472.0199999999999,506.35999999999996,532.6800000000001,570.9399999999999,605.4199999999997,640.6199999999999,673.9599999999999,708.7800000000001,745.4200000000002,786.2599999999999,828.64,868.7999999999998,910.6800000000002,952.4799999999999,996.0000000000001,1039.2599999999998,1086.76,1131.5199999999998,1182.3,1231.9199999999998,1283.2399999999998,1332.48,1382.94,1435.5599999999997,1487.4599999999998,1545.8600000000001,1599.28,1659.0400000000002,1714.7600000000002,1772.2,1835.8400000000001,1889.7799999999997,1953.3200000000004,2016.76,2082.4599999999996,2146.1400000000003,2212.66,2271.9799999999996,2345.8799999999997,2405.36,2487.74,2551.3199999999993,2622.600000000001,2694.3400000000006,2765.6000000000004,2843.9400000000005,2917.18,2990.9199999999996,3072.18,3146.3999999999996,3227.68,3311.7,3382.3400000000006,3469.4800000000005,3551.7999999999997,3638.2,3722.7199999999993,3812.6599999999994,3895.9599999999996,3985.9799999999987,4073.3599999999997,4163.579999999999,4247.419999999998,4342.9400000000005,4440.12,4531.32
5,227.56000000000003,241.38,261.29999999999995,279.55999999999995,291.3399999999999,314.18,331.4,350.9,374.9799999999999,393.02,410.01999999999987,430.26000000000016,453.81999999999994,476.3199999999999,498.19999999999993,523.3599999999999,545.6600000000001,568.9,595.24,616.84,644.3399999999998,675.6600000000001,697.2400000000001,728.1400000000001,753.9599999999999,786.5999999999999,810.5,838.86,868.8000000000002,900.8999999999999,933.8800000000002,962.6599999999997,991.48,1024.58,1062.9999999999998,1093.2199999999998,1125.7399999999998,1159.1600000000003,1194.0,1230.0400000000006,1268.6400000000006,1309.5,1349.1000000000001,1375.1599999999994,1414.8599999999994,1459.4,1494.02,1529.1599999999996,1567.74,1607.52,1646.3200000000004,1693.8999999999999,1732.2,1770.78,1820.5200000000004,1857.9000000000003,1909.86,1941.3799999999999,1985.6200000000001,2038.8599999999994,2078.2600000000007,2127.9600000000005,2167.42,2216.4000000000005,2263.12,2310.6,2350.6400000000003,2406.7599999999993,2464.7999999999993,2503.6000000000004
6,232.27999999999994,246.76000000000002,267.02000000000004,285.58,297.29999999999995,319.7600000000001,337.08000000000004,356.24,380.12000000000006,398.75999999999993,415.38,437.52000000000004,460.1200000000002,483.3,504.5400000000001,529.08,552.32,575.5000000000001,601.76,622.48,651.62,681.64,703.0600000000001,734.6,760.4999999999999,793.14,815.7999999999998,845.02,875.54,907.28,940.3999999999999,968.8799999999998,997.3800000000003,1031.0399999999997,1068.5600000000002,1099.1999999999998,1132.06,1164.6200000000001,1198.62,1235.5600000000002,1274.7800000000002,1314.8200000000004,1354.34,1380.4600000000003,1419.5000000000002,1464.3199999999997,1498.4599999999998,1533.9600000000003,1572.4799999999998,1612.36,1651.0000000000005,1698.9399999999994,1736.62,1775.04,1823.9400000000003,1861.9399999999998,1913.940000000001,1945.4000000000003,1989.5400000000002,2042.9799999999998,2081.7799999999997,2131.7,2171.4799999999996,2220.0599999999995,2266.54,2314.2600000000007,2354.04,2409.8199999999993,2467.9599999999996,2506.74
7,224.96000000000004,241.48,260.53999999999996,277.88000000000005,288.76000000000005,315.38000000000005,330.20000000000005,355.46000000000004,379.6000000000001,396.5200000000001,417.04,436.44,463.06,487.7199999999999,511.44,544.0199999999999,562.1600000000001,586.7800000000001,615.9799999999999,646.1800000000001,668.7599999999998,700.1800000000001,733.3000000000003,763.8399999999999,787.0599999999997,825.9200000000002,860.0000000000001,881.54,921.1000000000003,953.8400000000004,991.0399999999998,1031.76,1061.96,1097.3600000000004,1138.54,1175.5400000000004,1200.72,1250.6000000000001,1284.5800000000006,1334.7599999999998,1373.6199999999994,1409.7199999999996,1465.7599999999995,1493.2200000000003,1540.3399999999995,1581.2800000000002,1635.7000000000003,1673.04,1720.2799999999997,1767.5600000000006,1820.5000000000002,1860.2799999999993,1900.2000000000007,1957.7999999999997,2013.6000000000001,2052.2200000000003,2108.12,2159.96,2204.2400000000002,2276.5200000000004,2309.319999999999,2378.2799999999993,2430.200000000001,2477.919999999999,2531.8600000000006,2598.9400000000005,2649.1400000000003,2695.8599999999997,2774.2000000000007,2833.9399999999996
8,355.70000000000005,379.86,407.36,432.76,458.76000000000005,491.02,518.4399999999999,552.8599999999999,585.5200000000001,620.6600000000001,649.3600000000001,682.56,723.7399999999998,757.6999999999998,798.9400000000002,835.2800000000002,872.2799999999999,912.3999999999997,954.0199999999998,998.4,1039.3999999999996,1078.1399999999999,1129.3,1176.5799999999995,1218.1600000000005,1270.48,1324.4600000000003,1364.5000000000005,1418.08,1468.1999999999994,1524.06,1580.0200000000004,1631.5400000000004,1684.92,1742.7400000000005,1799.9399999999996,1851.6200000000003,1915.9399999999998,1970.3200000000002,2037.4399999999998,2098.019999999999,2149.86,2227.8399999999997,2280.6399999999994,2349.9600000000005,2413.8799999999997,2483.6800000000003,2550.54,2622.82,2694.1000000000004,2766.8799999999997,2828.0600000000004,2903.0800000000004,2977.3400000000006,3053.400000000001,3124.84,3197.36,3285.8599999999997,3355.5200000000004,3445.82,3513.94,3600.560000000001,3689.5799999999995,3765.4399999999996,3843.019999999999,3940.9799999999996,4015.4200000000005,4106.739999999999,4192.839999999999,4287.959999999999
9,225.98000000000005,239.92,259.79999999999995,278.08,289.62000000000006,312.56,329.97999999999996,349.56,373.8,391.38000000000017,408.09999999999997,428.82,452.27999999999986,474.50000000000006,496.5600000000001,521.76,544.1800000000001,566.94,593.78,615.1999999999999,642.78,674.2400000000001,695.4400000000002,726.38,752.36,784.7799999999999,808.8599999999997,837.0199999999999,867.1,899.1200000000002,932.4800000000002,960.6999999999999,990.1399999999999,1023.0200000000001,1061.3799999999999,1091.56,1124.3000000000002,1157.8600000000004,1192.5600000000002,1228.6200000000003,1267.16,1308.36,1347.98,1373.8799999999999,1413.6999999999996,1458.2599999999998,1492.9599999999998,1527.7799999999995,1566.8200000000002,1606.5600000000002,1645.1800000000003,1692.8600000000004,1730.8999999999999,1769.7,1819.3999999999999,1856.7200000000005,1908.9999999999998,1940.2999999999993,1984.5200000000002,2038.0199999999995,2077.2400000000002,2126.9400000000005,2166.7200000000003,2215.4600000000005,2262.1400000000003,2309.62,2349.7400000000002,2405.9399999999996,2463.9199999999996,2502.7200000000003
